1	214	221												
2	214	215												
3	214	215												
4	220	209												
5	240	209												
6	269	255												
7	237	221												
8	202	230												
9	202	232												
10	201	201												
11	201	201												
12	235	261												
13	236	261												
14	236	261												
15	224	260												
16	219	221												
17	239	210												
18	255	239												
19	219	221												
20	202	219												
21	211	219												
22	239	211												
23	225	236												
24	253	225	202											
25	219	205												
26	250	206												
27	220	216												
28	228	216												
29	202	236												
30	202	236												
31	224	202												
32	211	236												
33	224	236												
34	224	266												
35	222	234												
36	234	249												
37	209	219												
38	269	238												
39	222	238												
40	222	238												
41	202	219												
42	215	225												
43	215	225												
44	215	225												
45	215	225												
46	201	220												
47	261	200												
48	235	201												
49	235	260												
50	233	220												
51	233	203												
52	220	202												
53	220	238												
54	230	234												
55	235	230												
56	220	208												
57	243	207												
58	209	202												
59	240	278												
60	237	216												
61	237	216												
62	241	237												
63	234	249												
64	235	226												
65	235	226												
66	241	208												
67	207	208												
68	243	229												
69	214	225												
70	225	271												
71	215	225												
72	237	236												
73	224	225												
74	227	221												
75	227	233												
76	227	233												
77	209	221												
78	269	207												
79	235	230												
80	235	230												
81	206	249												
82	206	249												
83	255	200												
84	211	219												
85	239	238												
86	212	217												
87	266	218												
88	224	233												
89	224	260												
90	221	217												
91	218	217												
92	212	263												
93	213	263												
94	203	264												
95	227	221												
96	235	222												
97	235	234												
98	237	216												
99	237	228												
100	206	221												
101	250	206												
102	235	271												
103	274	271												
104	233	241												
105	233	241												
106	241	207												
107	243	229												
108	234	212												
109	221	260												
110	221	260												
111	233	241												
112	233	241												
113	222	234												
114	214	260												
115	233	207												
116	230	237												
117	230	204												
118	211	216												
119	211	283												
120	230	221												
121	230	281												
122	235	234												
123	255	200												
124	235	218												
125	207	205												
126	209	208												
127	201	241												
128	221	234												
129	231													
130	283	202												
131	218	230												
132	242													
133	219	221												
134	230													
135	250	205												
136	269	209												
137	281	249												
138	230	216												
139	230	216												
140	220	216												
141	283	241	216											
142	239	202												
143	234	212												
144	218													
145	249													
146	269													
147	204	266												
148	204	266												
149	253	239												
150	235	226												
151	239	253	283	213	224	222	241	218	278	261	223	260	250	249
